Miss Ackroyd (Crooked House)
Mr Agrodopolous
Brent
Laurence Brown
Michael Chavasse
Edith de Haviland
Electra (Crooked House)
Evans (Crooked House)
Mr Gaitskill
Gladys (Crooked House)
Glover (Crooked House)
Dr Gray
Arthur Hayward
Charles Hayward
Johnson (Crooked House)
Vavasour Jones
Joyce (Crooked House)
Moyra Kinoul
Detective Sergeant Lamb
Aristide Leonides
Brenda Leonides
Clemency Leonides
Eustace Leonides
Josephine Leonides
Marcia Leonides
Philip Leonides
Roger Leonides
Sophia Leonides
Janet Rowe
Chief Inspector Taverner
Magda West
William (Crooked House)
Janet Wolmer
Avis
Meredith Blake
Phillip Blake
Inspector Conway
Amyas Crale
Caroline Crale
Diana Crale
Enoch Crale
Richard Crale
Mrs Richard Crale
Admiral Cronshaw
Montague Depleach
Lord Dittisham
Alfred Edmunds
Dr Andrew Faussett
Quentin Fogg
Colonel Frere
Elsa Greer
Superintendent Hale
Hollinghurst
Caleb Jonathan
Carla Lemarchant
Louise (Five Little Pigs)
George Mayhew
Mr Mayhew (Five Little Pigs)
John Rattery
Humphrey Rudolph
Simon (Five Little Pigs)
Mrs Spriggs
Arnold Stevenson
Lady Tressillian (Five Little Pigs)
Angela Warren
Cecilia Williams
Helena Andrenyi
Rudolph Andrenyi
Colonel Arbuthnot
Linda Arden
Colonel Armstrong
Daisy Armstrong
Selby Armstrong
Sonia Armstrong
Tommy Armstrong
Aynesworth
Monsieur Bouc
Cassetti
Category:Characters created for Agatha Christie: Murder on the Orient Express (2006 video game)
Dr Constantine
Mary Debenham
Natalia Dragomiroff
Lieutenant Dubosc
Jean Faucher
Antonio Foscarelli
Cyrus Hardman
Mr Harris
Hotaru Mori
Caroline Hubbard
Joanna Locke
Hector MacQueen
Antoinette Marceau
Edward Masterman
Pierre Michel (Murder on the Orient Express)
Susanne Michel
Freja Nielsen
Noah Nielsen
Greta Ohlsson
Samuel Edward Ratchett
Arabella Richardson
Hildegarde Schmidt
Sir Henry Tomlinson
W. K. Van der Halt
Aziz Wadi
Zia (Murder On The Orient Express)
Colonel Andrews
Anna (N or M?)
Appledore
Ashby
Beatrice (N or M?)
Deborah Beresford
Derek Beresford
Roger Blake
Major Bletchley
Inspector Brassey
Mrs Calfont
Major Anthony Carter
Alfred Cayley
Elizabeth Cayley
Charles (N or M?)
Carl von Deinim
Dr Curtis
Farqhar
Gladys (N or M?)
Aunt Gracie
Mr Grant
Gus
Hahn
Harrison (N or M?)
Bob Harrison
Dennis Harrison
Mrs Harrison (N or M?)
Commander Haydock
Aunt Julie
Barbara Kemp
Major Khan
Larry (N or M?)
M (N or M?)
Patrick Maguire
Anthony Marsdon
Marsh
Martha (N or M?)
Maureen (N or M?)
Miss Meadowes
Mrs Minton
Mr Minton
Sophia Minton
Monroe
Mr Walters (N or M?)
N (N or M?)
Mrs O'Rourke
Otto
Albert Pemberton
Mrs Perenna
Sheila Perenna
Vanda Polonska
Edward Robbins
Mrs Rowley
Rudder
Selina (N or M?)
Arthur Sprot
Betty Sprot
Mrs Sprot
Trundles
Wilfred (N or M?)
Gilbert Worthing
Colonel Abercrombie
Alice Adams
Amberiotis
Archerton
Rebecca Arnholt
Reginald Barnes
Detective Sergeant Beddoes
Dr Bennett
Alfred Biggs
Alistair Blunt
Gerda Blunt
Mrs Bolitho
Burton
Frank Carter
Albert Chapman
Beryl Chapman
Sylvia Chapman
"Emma (One, Two, Buckle My Shoe)"
Agnes Fletcher
Mr French
Lady Grant
"Mrs Harrison (One, Two, Buckle My Shoe)"
Betty Heath
Mr Hendry
Alison Hendry
Miss Kirby
Ram Lal
Mr Leatheran
MacAlister
Mrs Merton
Helen Montressor
Georgina Morley
Henry Morley
"Nellie (One, Two, Buckle My Shoe)"
Gladys Nevill
Jane Olivera
Julia Olivera
Howard Raikes
"Reilly (One, Two, Buckle My Shoe)"
The Rotherstein family
Samuel Rotherstein
Mrs Ruxton
Mabelle Sainsbury Seale
Felipe di Sanseverato
Mr Selby
Mrs Soames
Mr Ansell
Lord Frederick Anstice
Marion Bates
Miss Bell
Professor Bernsdorff
Mr Billingsley
Mrs Brogan
Miss Chase
Henry Clithering
Dr Crosbie
Mr Crump
Mrs Crump
Ellen Curtis
Daisy (A Pocketful of Rye)
Don (A Pocket Full of Rye)
Mary Dove
Vivian Dubois
Mr Ellis
Mr Emmett
Mrs Emmett
Albert Evans
Adele Fortescue
Elaine Fortescue
Elvira Fortescue
Jennifer Fortescue
Lance Fortescue
Pat Fortescue
Percival Fortescue
Rex Fortescue
Fred (A Pocket Full of Rye)
Dr French
Miss Griffith
Irene Grosvenor
Mrs Hardcastle
Sergeant Hay
Dr Isaacs
Kitty (A Pocket Full of Rye)
Mrs Latimer
Donald MacKenzie
Helen MacKenzie
Mr MacKenzie
Gladys Martin
Mrs Mitchinson
Inspector Neele
Miss Peabody
Mary Peters
Miss Ramsbottom
Sergeant Rose
Edwin Sandeman
Miss Somers
Mrs Sparrow
Miss Trefusis James
Detective Constable Waite
PC White
Gerald Wright
Edward Babbington
Lloyd Babbington
Margaret Babbington
Robin Babbington
Stephen Babbington
Stephen Babbington (Junior)
Baker (Three Act Tragedy)
Victoria Ball
Violet Bassington
Sir Jocelyn Campbell
Lady Campbell
Sir Charles Cartwright
Beatrice Church
Doris Coker
Superintendent Crossfield
Cynthia Dacres
Freddie Dacres
Mrs Margaret de Rushbridger
Lady Eden
Lord Eden
Colonel Johnson
Martha Leckie
Vernon Lorrimer
Gladys Lyndon
Hermione Lytton Gore
Mary Lytton Gore
Ronald Lytton Gore
Dr MacDougal
Mrs Manders
Oliver Manders
Marcelle (Three Act Tragedy)
Marcelle from Monte Carlo (Three Act Tragedy)
Miguel
Mrs Milray
Violet Milray
Mr Satterthwaite
Doris Sims
Sir Bartholomew Strange
Angela Sutcliffe
Temple (Three Act Tragedy)
Alice West
Muriel Wills
Hercule Poirot
Arthur Hastings
Vera Rossakoff
Felicity Lemon
Ariadne Oliver
Colonel Johnnie Race
Superintendent Battle
James Japp
Jane Marple
Dermot Craddock
Inspector Slack
Raymond West
Martha Price-Ridley
Dr Haydock
Dolly Bantry
Diana Harmon
Tommy Beresford
Tuppence Beresford
Albert Batt
